GRE_Score,TOEFL_Score,University_Rating,SOP,LOR,CGPA,Research,Serial_No,Chance_of_Admit
318,107,3,3.0,3.5,8.27,1,351,0.69532258690932
325,110,4,3.5,4.0,8.67,1,352,0.7800903370819321
303,100,2,3.0,3.5,8.06,1,353,0.6147467523395824
300,102,3,3.5,2.5,8.17,0,354,0.6023314971452849
297,98,2,2.5,3.0,7.67,0,355,0.53130786209723
317,106,2,2.0,3.5,8.12,0,356,0.650483581131543
327,109,3,3.5,4.0,8.77,1,357,0.7829811537403
301,104,2,3.5,3.5,7.89,1,358,0.6004396985846523
314,105,2,2.5,2.0,7.64,0,359,0.5610151891774615
321,107,2,2.0,1.5,8.44,0,360,0.6597587377006027
322,110,3,4.0,5.0,8.64,1,361,0.7784638938677388
334,116,4,4.0,3.5,9.54,1,362,0.8992416922063458
338,115,5,4.5,5.0,9.23,1,363,0.9085972073381591
306,103,2,2.5,3.0,8.36,0,364,0.6377489344492964
313,102,3,3.5,4.0,8.9,1,365,0.7522584646084475
330,114,4,4.5,3.0,9.17,1,366,0.8359872047019111
320,104,3,3.5,4.5,8.34,1,367,0.7187000967523488
311,98,1,1.0,2.5,7.46,0,368,0.5189230724721228
298,92,1,2.0,2.0,7.88,0,369,0.5149361671298451
301,98,1,2.0,3.0,8.03,1,370,0.5839059329106371
310,103,2,2.5,2.5,8.24,0,371,0.6236933021011939
324,110,3,3.5,3.0,9.22,1,372,0.8103023769949701
336,119,4,4.5,4.0,9.62,1,373,0.9279569141666717
321,109,3,3.0,3.0,8.54,1,374,0.7267804645217854
315,105,2,2.0,2.5,7.65,0,375,0.5736629785854224
304,101,2,2.0,2.5,7.66,0,376,0.5426870759383544
297,96,2,2.5,2.0,7.43,0,377,0.48189819122612443
290,100,1,1.5,2.0,7.56,0,378,0.48085942590277164
303,98,1,2.0,2.5,7.65,0,379,0.5226260604626176
311,99,1,2.5,3.0,8.43,1,380,0.6511749965959014
322,104,3,3.5,4.0,8.84,1,381,0.7690226459652267
319,105,3,3.0,3.5,8.67,1,382,0.7371984533898392
324,110,4,4.5,4.0,9.15,1,383,0.8305935706787086
300,100,3,3.0,3.5,8.26,0,384,0.6264441073137925
340,113,4,5.0,5.0,9.74,1,385,0.9543589901196904
335,117,5,5.0,5.0,9.82,1,386,0.9717831410238646
302,101,2,2.5,3.5,7.96,0,387,0.5898075835235514
307,105,2,2.0,3.5,8.1,0,388,0.6250043306900177
296,97,2,1.5,2.0,7.8,0,389,0.5234530469117681
320,108,3,3.5,4.0,8.44,1,390,0.7295186985439794
314,102,2,2.0,2.5,8.24,0,391,0.6301132261355871
318,106,3,2.0,3.0,8.65,0,392,0.7121613559632732
326,112,4,4.0,3.5,9.12,1,393,0.8270082491425456
317,104,2,3.0,3.0,8.76,0,394,0.7071209411474083
329,111,4,4.5,4.0,9.23,1,395,0.8521952738869647
324,110,3,3.5,3.5,9.04,1,396,0.7995839422396198
325,107,3,3.0,3.5,9.11,1,397,0.8029635376328143
330,116,4,5.0,4.5,9.45,1,398,0.8987691398454891
312,103,3,3.5,4.0,8.78,0,399,0.7248613234963646
333,117,4,5.0,4.0,9.66,1,400,0.9213524185909261
